测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_iSula_pause_resume_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_pause_resume_001/2023-04-29-02:32:56.log,docker镜像地址错误
,oe_test_iSula_query_state_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_query_state_001/2023-04-29-02:12:18.log,docker镜像地址错误
,oe_test_iSula_restart_stop_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_restart_stop_001/2023-04-29-02:22:41.log,docker镜像地址错误
,oe_test_iSula_search_info_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_search_info_001/2023-04-29-02:24:46.log,docker镜像地址错误
,oe_test_iscsi,fail,./mugen-riscv/logs/AT/oe_test_iscsi/2023-04-29-03:18:50.log,CONFIG_CONFIGFS_FS is not set
,oe_test_log_001,fail,./mugen-riscv/logs/AT/oe_test_log_001/2023-04-29-03:23:03.log,preinstall absent
,oe_test_numactl,fail,./mugen-riscv/logs/AT/oe_test_numactl/2023-04-29-03:29:49.log,CONFIG_NUMA is not set
,oe_test_perf,fail,./mugen-riscv/logs/AT/oe_test_perf/2023-04-29-03:32:37.log,timeout
,oe_test_pwd_001,fail,./mugen-riscv/logs/AT/oe_test_pwd_001/2023-04-29-03:33:42.log,preinstall absent
,oe_test_rollback,fail,./mugen-riscv/logs/AT/oe_test_rollback/2023-04-29-03:54:37.log,mugen 测试代码并没有考虑到git软件包已安装时的情况
,oe_test_rpm_suffix_name,fail,./mugen-riscv/logs/AT/oe_test_rpm_suffix_name/2023-04-29-00:35:20.log,dnf list 获取的oetestsuite 软件仓中软件包版本号不带有oe2303的规范
,oe_test_service,fail,./mugen-riscv/logs/AT/oe_test_service/2023-04-29-00:34:27.log,preinstall absent
,oe_test_skopeo,fail,./mugen-riscv/logs/AT/oe_test_skopeo/2023-04-29-03:35:50.log,choosing image instance: no image found in manifest list for architecture riscv64
,oe_test_syslog_logrotate_001,fail,./mugen-riscv/logs/AT/oe_test_syslog_logrotate_001/2023-04-29-03:47:46.log,preinstall absent
,oe_test_yumgroup_001,fail,./mugen-riscv/logs/AT/oe_test_yumgroup_001/2023-04-29-03:51:10.log,oe-rv目前软件仓内并没有划分软件包组
,oe_test_IPV6_traceroute6_02,fail,./mugen-riscv/logs/AT/oe_test_IPV6_traceroute6_02/2023-04-29-05:02:14.log,
,oe_test_audit_fixed_memory_02,fail,./mugen-riscv/logs/AT/oe_test_audit_fixed_memory_02/2023-04-29-07:16:50.log,file missing
,oe_test_bbr_02,fail,./mugen-riscv/logs/AT/oe_test_bbr_02/2023-04-29-07:17:44.log,preinstall absent
,oe_test_bbr_04,fail,./mugen-riscv/logs/AT/oe_test_bbr_04/2023-04-29-07:18:03.log,kernel module absent
,oe_test_bonding_SCEN_05,fail,./mugen-riscv/logs/AT/oe_test_bonding_SCEN_05/2023-04-29-07:18:23.log,preinstall absent kernel module absent
,oe_test_dracut,fail,./mugen-riscv/logs/AT/oe_test_dracut/2023-04-29-04:48:54.log,preinstall absent
,oe_test_ebtables,fail,./mugen-riscv/logs/AT/oe_test_ebtables/2023-04-29-04:49:13.log,preinstall absent
,oe_test_ethtool_01,fail,./mugen-riscv/logs/AT/oe_test_ethtool_01/2023-04-29-04:49:28.log,preinstall absent
,oe_test_gettext,fail,./mugen-riscv/logs/AT/oe_test_gettext/2023-04-29-05:34:11.log,
