测试套/软件包名,测试用例名,状态,日志文件,原因
flatpak,oe_test_service_flatpak-system-helper,success,./mugen-riscv/logs/flatpak/oe_test_service_flatpak-system-helper/2023-05-26-16:26:46.log,None
fprintd,oe_test_service_fprintd,success,./mugen-riscv/logs/fprintd/oe_test_service_fprintd/2023-05-26-16:43:52.log,None
geoclue2,oe_test_service_geoclue,success,./mugen-riscv/logs/geoclue2/oe_test_service_geoclue/2023-05-26-20:50:20.log,None
git,oe_test_socket_git,success,./mugen-riscv/logs/git/oe_test_socket_git/2023-05-25-16_45_43.log,None
glibc,oe_test_service_nscd,success,./mugen-riscv/logs/glibc/oe_test_service_nscd/2023-05-25-16_50_21.log,None
,oe_test_socket_nscd,success,./mugen-riscv/logs/glibc/oe_test_socket_nscd/2023-05-25-16_52_40.log,None
glusterfs,oe_test_service_gluster-ta-volume,success,./mugen-riscv/logs/glusterfs/oe_test_service_gluster-ta-volume/2023-05-26-21:14:00.log,None
,oe_test_service_glusterd,success,./mugen-riscv/logs/glusterfs/oe_test_service_glusterd/2023-05-26-21:01:09.log,None
,oe_test_service_glustereventsd,success,./mugen-riscv/logs/glusterfs/oe_test_service_glustereventsd/2023-05-26-21:04:50.log,None
,oe_test_service_glusterfsd,success,./mugen-riscv/logs/glusterfs/oe_test_service_glusterfsd/2023-05-26-21:08:48.log,None
,oe_test_service_glusterfssharedstorage,success,./mugen-riscv/logs/glusterfs/oe_test_service_glusterfssharedstorage/2023-05-26-21:10:38.log,None
gnome-shell,oe_test_gnome-shell,success,./mugen-riscv/logs/gnome-shell/oe_test_gnome-shell/2023-05-26-21:20:27.log,None
gpm,oe_test_service_gpm,success,./mugen-riscv/logs/gpm/oe_test_service_gpm/2023-05-26-21:57:02.log,None
gssproxy,oe_test_service_gssproxy,success,./mugen-riscv/logs/gssproxy/oe_test_service_gssproxy/2023-05-26-22:20:50.log,None
haveged,oe_test_service_haveged,success,./mugen-riscv/logs/haveged/oe_test_service_haveged/2023-05-26-22:32:30.log,None
httpd,oe_test_service_htcacheclean,success,./mugen-riscv/logs/httpd/oe_test_service_htcacheclean/2023-05-26-23:17:50.log,None
,oe_test_service_httpd-init,success,./mugen-riscv/logs/httpd/oe_test_service_httpd-init/2023-05-26-23:20:34.log,None
,oe_test_service_httpd,success,./mugen-riscv/logs/httpd/oe_test_service_httpd/2023-05-26-23:22:54.log,None
,oe_test_socket_httpd,success,./mugen-riscv/logs/httpd/oe_test_socket_httpd/2023-05-26-23:26:14.log,None
initial-setup,oe_test_service_initial-setup-reconfiguration,success,./mugen-riscv/logs/initial-setup/oe_test_service_initial-setup-reconfiguration/2023-05-27-00:47:13.log,None
intltool,oe_test_intltool_intltool-extract,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-extract/2023-05-27-01:18:58.log,None
,oe_test_intltool_intltool-merge_01,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-merge_01/2023-05-27-01:11:47.log,None
,oe_test_intltool_intltool-merge_02,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-merge_02/2023-05-27-01:14:06.log,None
,oe_test_intltool_intltool-prepare,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-prepare/2023-05-27-01:23:58.log,None
,oe_test_intltool_intltool-update,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-update/2023-05-27-01:16:13.log,None
,oe_test_intltool_intltoolize,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltoolize/2023-05-27-01:25:51.log,None
libcap,oe_test_acl_allow_change_nochange,success,./mugen-riscv/logs/libcap/oe_test_acl_allow_change_nochange/2023-05-25-17_14_25.log,None
,oe_test_acl_allow_change_ownership,success,./mugen-riscv/logs/libcap/oe_test_acl_allow_change_ownership/2023-05-25-17_13_53.log,None
,oe_test_acl_bind_port,success,./mugen-riscv/logs/libcap/oe_test_acl_bind_port/2023-05-25-17_16_15.log,None
,oe_test_acl_ignore_dal_across,success,./mugen-riscv/logs/libcap/oe_test_acl_ignore_dal_across/2023-05-25-17_13_03.log,None
,oe_test_acl_manage_net,success,./mugen-riscv/logs/libcap/oe_test_acl_manage_net/2023-05-25-17_18_08.log,None
,oe_test_acl_ordinary_users_setgid,success,./mugen-riscv/logs/libcap/oe_test_acl_ordinary_users_setgid/2023-05-25-17_15_39.log,None
,oe_test_acl_send_kill_notbelong,success,./mugen-riscv/logs/libcap/oe_test_acl_send_kill_notbelong/2023-05-25-17_15_05.log,None
,oe_test_acl_verwrite_previous_rules,success,./mugen-riscv/logs/libcap/oe_test_acl_verwrite_previous_rules/2023-05-25-17_13_34.log,None
,oe_test_libcap,success,./mugen-riscv/logs/libcap/oe_test_libcap/2023-05-25-17_12_37.log,None
libgpg-error,oe_test_libgpg-error,success,./mugen-riscv/logs/libgpg-error/oe_test_libgpg-error/2023-05-25-17_17_02.log,None
libunistring,oe_test_libunistring,success,./mugen-riscv/logs/libunistring/oe_test_libunistring/2023-05-25-17_20_05.log,None
man-db,oe_test_service_man-db-cache-update,success,./mugen-riscv/logs/man-db/oe_test_service_man-db-cache-update/2023-05-25-17_25_04.log,None
,oe_test_service_man-db,success,./mugen-riscv/logs/man-db/oe_test_service_man-db/2023-05-25-17_25_30.log,None
,oe_test_service_man-db_01,success,./mugen-riscv/logs/man-db/oe_test_service_man-db_01/2023-05-25-17_25_53.log,None
ntp,oe_test_service_ntp-wait,success,./mugen-riscv/logs/ntp/oe_test_service_ntp-wait/2023-05-25-17_37_33.log,None
,oe_test_service_ntpd,success,./mugen-riscv/logs/ntp/oe_test_service_ntpd/2023-05-25-17_36_24.log,None
,oe_test_service_ntpdate,success,./mugen-riscv/logs/ntp/oe_test_service_ntpdate/2023-05-25-17_34_54.log,None
,oe_test_service_sntp,success,./mugen-riscv/logs/ntp/oe_test_service_sntp/2023-05-25-17_39_41.log,None
openldap,oe_test_service_slapd,success,./mugen-riscv/logs/openldap/oe_test_service_slapd/2023-05-25-17_43_12.log,None
openslp,oe_test_service_slpd,success,./mugen-riscv/logs/openslp/oe_test_service_slpd/2023-05-25-17_47_53.log,None
pam,oe_test_service_pam_namespace,success,./mugen-riscv/logs/pam/oe_test_service_pam_namespace/2023-05-25-18_08_22.log,None
polkit,oe_test_service_polkit,success,./mugen-riscv/logs/polkit/oe_test_service_polkit/2023-05-25-18_11_04.log,None
procps-ng,oe_test_procps-ng-pmap,success,./mugen-riscv/logs/procps-ng/oe_test_procps-ng-pmap/2023-05-25-18_14_04.log,None
sqlite,oe_test_sqlite_alter_01,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_alter_01/2023-05-25-18_16_56.log,None
,oe_test_sqlite_command_01,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_01/2023-05-25-18_17_18.log,None
,oe_test_sqlite_command_02,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_02/2023-05-25-18_18_00.log,None
,oe_test_sqlite_command_03,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_03/2023-05-25-18_18_29.log,None
,oe_test_sqlite_command_04,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_04/2023-05-25-18_18_48.log,None
,oe_test_sqlite_command_05,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_05/2023-05-25-18_19_08.log,None
,oe_test_sqlite_command_06,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_06/2023-05-25-18_19_30.log,None
,oe_test_sqlite_command_07,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_07/2023-05-25-18_19_59.log,None
,oe_test_sqlite_command_08,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_command_08/2023-05-25-18_20_18.log,None
,oe_test_sqlite_create_06,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_create_06/2023-05-25-18_23_01.log,None
,oe_test_sqlite_delete_01,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_delete_01/2023-05-25-18_20_40.log,None
,oe_test_sqlite_function_01,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_function_01/2023-05-25-18_21_00.log,None
,oe_test_sqlite_function_02,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_function_02/2023-05-25-18_21_21.log,None
,oe_test_sqlite_function_03,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_function_03/2023-05-25-18_21_40.log,None
,oe_test_sqlite_function_04,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_function_04/2023-05-25-18_21_59.log,None
,oe_test_sqlite_select_05,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_select_05/2023-05-25-18_22_41.log,None
,oe_test_sqlite_update_01,success,./mugen-riscv/logs/sqlite/oe_test_sqlite_update_01/2023-05-25-18_22_19.log,None
timedatex,oe_test_service_timedatex,success,./mugen-riscv/logs/timedatex/oe_test_service_timedatex/2023-05-25-21_14_09.log,None
util-linux,oe_test_service_fstrim,success,./mugen-riscv/logs/util-linux/oe_test_service_fstrim/2023-05-25-21_14_10.log,None
,oe_test_service_uuidd,success,./mugen-riscv/logs/util-linux/oe_test_service_uuidd/2023-05-25-21_14_22.log,None
,oe_test_socket_uuidd,success,./mugen-riscv/logs/util-linux/oe_test_socket_uuidd/2023-05-25-21_15_30.log,None
wpa_supplicant,oe_test_service_wpa_supplicant,success,./mugen-riscv/logs/wpa_supplicant/oe_test_service_wpa_supplicant/2023-05-25-21_14_10.log,None
kpatch,oe_test_service_kpatch,success,./mugen-riscv/logs/kpatch/oe_test_service_kpatch/2023-06-02-07:19:28.log,None
krb5,oe_test_service_kadmin,success,./mugen-riscv/logs/krb5/oe_test_service_kadmin/2023-06-02-07:22:06.log,None
,oe_test_service_kprop,success,./mugen-riscv/logs/krb5/oe_test_service_kprop/2023-06-02-07:24:05.log,None
,oe_test_service_krb5kdc,success,./mugen-riscv/logs/krb5/oe_test_service_krb5kdc/2023-06-02-07:25:45.log,None
libcanberra,oe_test_service_canberra-system-bootup,success,./mugen-riscv/logs/libcanberra/oe_test_service_canberra-system-bootup/2023-06-02-08:51:24.log,None
,oe_test_service_canberra-system-shutdown-reboot,success,./mugen-riscv/logs/libcanberra/oe_test_service_canberra-system-shutdown-reboot/2023-06-02-08:52:52.log,None
,oe_test_service_canberra-system-shutdown,success,./mugen-riscv/logs/libcanberra/oe_test_service_canberra-system-shutdown/2023-06-02-08:54:08.log,None
libcgroup,oe_test_service_cgconfig,success,./mugen-riscv/logs/libcgroup/oe_test_service_cgconfig/2023-06-02-08:55:55.log,None
libesmtp,oe_test_libesmtp,success,./mugen-riscv/logs/libesmtp/oe_test_libesmtp/2023-06-02-08:58:08.log,None
libmemcached,oe_test_memaslap,success,./mugen-riscv/logs/libmemcached/oe_test_memaslap/2023-06-02-09:09:20.log,None
,oe_test_memcapable,success,./mugen-riscv/logs/libmemcached/oe_test_memcapable/2023-06-02-09:11:54.log,None
,oe_test_memcat,success,./mugen-riscv/logs/libmemcached/oe_test_memcat/2023-06-02-09:13:29.log,None
,oe_test_memcp,success,./mugen-riscv/logs/libmemcached/oe_test_memcp/2023-06-02-09:14:40.log,None
,oe_test_memdump-memerror,success,./mugen-riscv/logs/libmemcached/oe_test_memdump-memerror/2023-06-02-09:16:07.log,None
,oe_test_memexist,success,./mugen-riscv/logs/libmemcached/oe_test_memexist/2023-06-02-09:17:18.log,None
,oe_test_memflush,success,./mugen-riscv/logs/libmemcached/oe_test_memflush/2023-06-02-09:18:28.log,None
,oe_test_memping,success,./mugen-riscv/logs/libmemcached/oe_test_memping/2023-06-02-09:19:38.log,None
,oe_test_memrm,success,./mugen-riscv/logs/libmemcached/oe_test_memrm/2023-06-02-09:20:49.log,None
,oe_test_memslap,success,./mugen-riscv/logs/libmemcached/oe_test_memslap/2023-06-02-09:22:00.log,None
,oe_test_memstat,success,./mugen-riscv/logs/libmemcached/oe_test_memstat/2023-06-02-09:25:01.log,None
,oe_test_memtouch,success,./mugen-riscv/logs/libmemcached/oe_test_memtouch/2023-06-02-09:26:11.log,None
libstoragemgmt,oe_test_service_libstoragemgmt,success,./mugen-riscv/logs/libstoragemgmt/oe_test_service_libstoragemgmt/2023-06-02-10:32:08.log,None
libvma,oe_test_service_vma,success,./mugen-riscv/logs/libvma/oe_test_service_vma/2023-06-02-12:18:05.log,None
lorax,oe_test_socket_lorax-composer,success,./mugen-riscv/logs/lorax/oe_test_socket_lorax-composer/2023-06-02-13:48:57.log,None
,oe_test_service_lorax-composer,success,./mugen-riscv/logs/lorax/oe_test_service_lorax-composer/2023-06-02-13:41:55.log,None
ltrace,oe_test_ltrace_01,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_01/2023-06-02-14:00:19.log,None
,oe_test_ltrace_02,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_02/2023-06-02-14:01:19.log,None
,oe_test_ltrace_03,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_03/2023-06-02-14:02:11.log,None
,oe_test_ltrace_04,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_04/2023-06-02-14:03:06.log,None
lxcfs,oe_test_service_lxcfs,success,./mugen-riscv/logs/lxcfs/oe_test_service_lxcfs/2023-06-02-15:09:40.log,None
mariadb,oe_test_service_mariadb,success,./mugen-riscv/logs/mariadb/oe_test_service_mariadb/2023-06-02-15:28:31.log,None
,oe_test_mariadb-db,success,./mugen-riscv/logs/mariadb/oe_test_mariadb-db/2023-06-02-15:31:16.log,None
,oe_test_mariadb-table,success,./mugen-riscv/logs/mariadb/oe_test_mariadb-table/2023-06-02-15:33:17.log,None
memcached,oe_test_memcached_01,success,./mugen-riscv/logs/memcached/oe_test_memcached_01/2023-06-02-15:56:43.log,None
,oe_test_memcached_02,success,./mugen-riscv/logs/memcached/oe_test_memcached_02/2023-06-02-15:57:55.log,None
,oe_test_service_memcached,success,./mugen-riscv/logs/memcached/oe_test_service_memcached/2023-06-02-15:58:59.log,None
